364,1134,8,0.00012207
365,1134,9,0.000152588
366,1135,0,0.000213623
367,1135,1,0.000183105
368,1135,2,0.00012207
369,1135,3,0.000213623
370,1135,4,0.000152588
371,1135,5,0.00012207
372,1135,6,0.00012207
373,1135,7,6.10352e-05
374,1135,8,-3.05176e-05
375,1135,9,9.15527e-05
376,1136,0,0.00012207
377,1136,1,9.15527e-05
378,1136,2,0.00012207
379,1136,3,9.15527e-05
380,1136,4,0.000183105
381,1136,5,0.000213623
382,1136,6,0.000396729
383,1136,7,0.00012207
384,1136,8,9.15527e-05
385,1136,9,0.00012207
386,1137,0,9.15527e-05
387,1137,1,0.000183105
388,1137,2,6.10352e-05
389,1137,3,0.00012207
390,1137,4,0.0
391,1137,5,0.00012207
392,1137,6,0.00012207
393,1137,7,6.10352e-05
394,1137,8,0.000244141
395,1137,9,6.10352e-05
396,1138,0,0.00012207
397,1138,1,6.10352e-05
398,1138,2,9.15527e-05
399,1138,3,0.000152588
400,1138,4,0.000183105
401,1138,5,0.000152588
402,1138,6,0.000152588
403,1138,7,9.15527e-05
404,1138,8,6.10352e-05
405,1138,9,3.05176e-05
406,1139,0,0.000274658
407,1139,1,3.05176e-05
408,1139,2,0.000152588
409,1139,3,0.000213623
410,1139,4,0.000152588
411,1139,5,6.10352e-05
412,1139,6,0.00012207
413,1139,7,0.000152588
414,1139,8,0.000183105
415,1139,9,9.15527e-05
416,1140,0,0.000152588
417,1140,1,0.0
418,1140,2,9.15527e-05
419,1140,3,3.05176e-05
420,1140,4,6.10352e-05
421,1140,5,9.15527e-05
422,1140,6,0.0
423,1140,7,0.000183105
424,1140,8,0.0
425,1140,9,0.000183105
426,1141,0,0.00012207
427,1141,1,0.000152588
428,1141,2,0.00012207
429,1141,3,0.000183105
430,1141,4,0.000183105
431,1141,5,0.00012207
432,1141,6,0.000183105
433,1141,7,0.000213623
434,1141,8,0.000152588
435,1141,9,0.000152588
436,1142,0,0.000152588
437,1142,1,0.00012207
438,1142,2,9.15527e-05
439,1142,3,6.10352e-05
440,1142,4,0.00012207
441,1142,5,9.15527e-05
442,1142,6,9.15527e-05
443,1142,7,0.000152588
444,1142,8,0.000213623
445,1142,9,3.05176e-05
446,1143,0,0.000152588
447,1143,1,0.00012207
448,1143,2,0.000183105
449,1143,3,6.10352e-05
450,1143,4,0.000183105
451,1143,5,0.00012207
452,1143,6,6.10352e-05
453,1143,7,9.15527e-05
454,1143,8,6.10352e-05
455,1143,9,6.10352e-05
456,1144,0,3.05176e-05
457,1144,1,0.000152588
458,1144,2,0.000183105
459,1144,3,6.10352e-05
460,1144,4,9.15527e-05
461,1144,5,0.00012207
462,1144,6,0.000152588
463,1144,7,0.000152588
464,1144,8,9.15527e-05
465,1144,9,0.000152588
466,1145,0,0.000213623
467,1145,1,9.15527e-05
468,1145,2,0.00012207
469,1145,3,0.00012207
470,1145,4,0.00012207
471,1145,5,3.05176e-05
472,1145,6,0.000152588
473,1145,7,0.000213623
474,1145,8,0.00012207
475,1145,9,6.10352e-05
476,1146,0,9.15527e-05
477,1146,1,3.05176e-05
478,1146,2,0.000183105
479,1146,3,9.15527e-05
480,1146,4,0.00012207
481,1146,5,3.05176e-05
482,1146,6,0.00012207
483,1146,7,0.00012207
484,1146,8,6.10352e-05
485,1146,9,9.15527e-05
486,1147,0,0.00012207
487,1147,1,0.0
488,1147,2,6.10352e-05
489,1147,3,0.00012207
490,1147,4,0.000152588
491,1147,5,0.000183105
492,1147,6,0.000183105
493,1147,7,0.000152588
494,1147,8,6.10352e-05
495,1147,9,0.000152588
496,1148,0,9.15527e-05
497,1148,1,0.000183105
498,1148,2,6.10352e-05
499,1148,3,0.00012207
500,1148,4,6.10352e-05
501,1148,5,9.15527e-05
502,1148,6,0.00012207
503,1148,7,9.15527e-05
504,1148,8,9.15527e-05
505,1148,9,9.15527e-05
506,1149,0,6.10352e-05
507,1149,1,0.000213623
508,1149,2,6.10352e-05
509,1149,3,0.000183105
510,1149,4,0.000152588
511,1149,5,0.000183105
512,1149,6,0.00012207
513,1149,7,0.000213623
514,1149,8,9.15527e-05
515,1149,9,3.05176e-05
516,1150,0,0.00012207
517,1150,1,-3.05176e-05
518,1150,2,0.000152588
519,1150,3,0.00012207
520,1150,4,0.00012207
521,1150,5,9.15527e-05
522,1150,6,6.10352e-05
523,1150,7,9.15527e-05
524,1150,8,6.10352e-05
525,1150,9,0.00012207
526,1151,0,0.000457764
527,1151,1,0.000152588
528,1151,2,0.00012207
529,1151,3,0.000152588
530,1151,4,9.15527e-05
531,1151,5,9.15527e-05
532,1151,6,0.000213623
533,1151,7,0.000183105
534,1151,8,0.000152588
535,1151,9,9.15527e-05
536,1152,0,0.00012207
537,1152,1,9.15527e-05
538,1152,2,0.000152588
539,1152,3,0.000152588
540,1152,4,9.15527e-05
541,1152,5,0.000183105
542,1152,6,0.000183105
543,1152,7,0.000152588
544,1152,8,0.000183105
545,1152,9,6.10352e-05
546,1153,0,9.15527e-05
547,1153,1,0.000183105
548,1153,2,0.000213623
549,1153,3,0.000152588
550,1153,4,0.000488281
551,1153,5,6.10352e-05
552,1153,6,0.000183105
553,1153,7,6.10352e-05
554,1153,8,9.15527e-05
555,1153,9,0.00012207
556,1154,0,9.15527e-05
557,1154,1,0.0
558,1154,2,0.00012207
559,1154,3,0.000183105
560,1154,4,9.15527e-05
561,1154,5,9.15527e-05
562,1154,6,9.15527e-05
563,1154,7,0.000213623
564,1154,8,9.15527e-05
565,1154,9,0.00012207
566,1155,0,9.15527e-05
567,1155,1,0.00012207
568,1155,2,0.00012207
569,1155,3,6.10352e-05
570,1155,4,9.15527e-05
571,1155,5,9.15527e-05
