,time,x,y,theta
934,9.34,1416.12,629.1235,2.97096294658
935,9.35,1411.095,632.519,2.97591033591
936,9.36,1406.04,635.842,2.98112203253
937,9.37,1400.815,639.2755,2.9859991535
938,9.38,1395.55,642.687,2.99143258952
939,9.39,1390.325,646.169,2.99660068182
940,9.4,1385.025,649.559,3.00201198447
941,9.41,1379.515,653.1505,3.00742474453
942,9.42,1373.9,656.68,3.01228654233
943,9.43,1368.255,660.173,3.01753400279
944,9.44,1362.575,663.6655,3.02302434456
945,9.45,1356.925,666.9785,3.02857939905
946,9.46,1351.45,670.2085,3.03472280326
947,9.47,1345.99,673.439,3.04153403106
948,9.48,1340.69,676.378,3.04792208443
949,9.49,1335.445,679.1895,3.05537660985
950,9.5,1330.085,681.947,3.06240737553
951,9.51,1324.825,684.719,3.07059569834
952,9.52,1319.51,687.252,3.07785617642
953,9.53,1314.095,689.8045,3.08568217974
954,9.54,1308.605,692.25,3.09323545083
955,9.55,1302.865,694.7345,3.10075647199
956,9.56,1297.215,697.193,3.10858507167
957,9.57,1291.475,699.468,3.11650858358
958,9.58,1285.65,701.676,3.12448916373
959,9.59,1279.73,703.7885,3.13254689885
960,9.6,1273.985,705.8205,3.14114206345
961,9.61,1268.27,707.6835,-3.13350266113
962,9.62,1262.555,710.023,-3.12385227862
963,9.63,1256.92,711.686,-3.11497245727
964,9.64,1251.26,713.201,-3.10625718434
965,9.65,1245.4585,714.6455,-3.09756352397
966,9.66,1239.731,716.1025,-3.08823985353
967,9.67,1234.034,717.5165,-3.07893691859
968,9.68,1228.31,718.646,-3.07006698017
969,9.69,1222.571,719.7115,-3.06108316113
970,9.7,1216.7965,720.6415,-3.0518166444
971,9.71,1211.001,721.628,-3.04273925009
972,9.72,1205.042,722.5925,-3.03359127564
973,9.73,1199.0795,723.4625,-3.02423858246
974,9.74,1193.1645,724.3105,-3.01542654683
975,9.75,1187.346,725.0085,-3.00642394601
976,9.76,1181.499,725.6305,-2.99791996971
977,9.77,1175.5465,726.2955,-2.98910550466
978,9.78,1169.5955,726.9405,-2.98014618099
979,9.79,1163.92,727.5395,-2.9712813476
980,9.8,1158.233,728.024,-2.96258407478
981,9.81,1152.541,728.4605,-2.95362149602
982,9.82,1147.024,728.966,-2.94459410274
983,9.83,1141.1025,729.648,-2.93468713385
984,9.84,,,
985,9.85,1130.5605,733.0365,-2.91040214604
986,9.86,1125.152,732.238,-2.90309122106
987,9.87,1120.516,732.3995,-2.89398511192
988,9.88,1114.9875,731.425,-2.88648065996
989,9.89,1109.98,731.094,-2.87816944154
990,9.9,1105.1185,731.1395,-2.86890920957
991,9.91,1100.297,731.017,-2.85973484628
992,9.92,1095.6195,730.844,-2.85039134827
993,9.93,1091.0345,730.58,-2.84152688823
994,9.94,1086.4485,730.3445,-2.83266403418
995,9.95,1081.983,729.9365,-2.82379878344
996,9.96,1077.668,729.882,-2.81447828816
